"table","first_migration"
"rate_limit_configs","132__adaptive_rate_limiting.sql"
"recepcion_items","035_compras_completo.sql"
"recepciones","035_compras_completo.sql"
"registro_consignaciones","000__bootstrap_core_tables.sql"
"request_logs","132__adaptive_rate_limiting.sql"
"resumenes_diarios","082__comunicacion_baja_resumen_diario.sql"
"retiros_caja","119__cash_operations_complete.sql"
"rls_alert_config","034_configure_rls_alerts.sql"
"rls_alert_history","034_configure_rls_alerts.sql"
"rls_audit_log","033_audit_rls_violations.sql"
"rma_eventos","016_p3_rma_multialmacen_dashboards.sql"
"rma_items","016_p3_rma_multialmacen_dashboards.sql"
"rma_solicitudes","016_p3_rma_multialmacen_dashboards.sql"
"rol_permisos","000__bootstrap_core_tables.sql"
"roles","000__bootstrap_core_tables.sql"
"saldos_iniciales_cuentas","000__bootstrap_core_tables.sql"
"secret_rotation_state","130__secret_rotation_state.sql"
"sesiones_caja","109__productos_servicios_cajas.sql"
"sire_files","000__bootstrap_core_tables.sql"
"sire_registros_detalle","155__add_gre_sire_detail_tables.sql"
"solicitudes","000__bootstrap_core_tables.sql"
"stock_movimientos","000__bootstrap_core_tables.sql"
"sucursales","109__productos_servicios_cajas.sql"
"system_alerts","130__secret_rotation_state.sql"
"tenants","000__bootstrap_core_tables.sql"
"trusted_ips","132__adaptive_rate_limiting.sql"
"user_roles","000__bootstrap_core_tables.sql"
"users","000__bootstrap_core_tables.sql"
"usuario_configuracion","000__bootstrap_core_tables.sql"
"usuarios_sistema","000__bootstrap_core_tables.sql"
"usuarios_sistemas","000__bootstrap_core_tables.sql"
"vacantes","000__bootstrap_core_tables.sql"
"validaciones_sunat","000__bootstrap_core_tables.sql"
"venta_detalles","000__bootstrap_core_tables.sql"
"ventas","000__bootstrap_core_tables.sql"
"ventas_pos","000__bootstrap_core_tables.sql"
"ventas_pos_pagos","169__pos_pagos_mixtos.sql"
"wizard_progress","000__bootstrap_core_tables.sql"
