"file","table"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","pedidos_venta_detalle"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","pedidos_venta"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","clientes"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\ventas-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","departamentos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","contratos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","asistencia"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","departamentos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","departamentos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","departamentos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","departamentos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","departamentos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","departamentos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","contratos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","contratos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","contratos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","asistencia"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","asistencia"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","asistencia"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","solicitudes"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","solicitudes"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","solicitudes"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","contratos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","contratos"
