"relation_type","relation_name","base_name","migration"
"table","integration_logs","integration_logs","008_crear_tabla_integration_logs.sql"
"table","inventarios_permanentes","inventarios_permanentes","000__bootstrap_core_tables.sql"
"table","knowledge_base","knowledge_base","148__knowledge_base_help_system.sql"
"table","libro_retenciones","libro_retenciones","000__bootstrap_core_tables.sql"
"table","libros_electronicos_sunat","libros_electronicos_sunat","000__bootstrap_core_tables.sql"
"table","liquidaciones","liquidaciones","000__bootstrap_core_tables.sql"
"table","logistica_eventos","logistica_eventos","010_aprobaciones_cxc.sql"
"table","lotes_productos","lotes_productos","128__lotes_series_fefo.sql"
"table","metodos_pago","metodos_pago","000__bootstrap_core_tables.sql"
"table","movimientos_bancarios","movimientos_bancarios","020_finanzas_completo.sql"
"table","movimientos_caja","movimientos_caja","119__cash_operations_complete.sql"
"table","movimientos_consignacion","movimientos_consignacion","000__bootstrap_core_tables.sql"
"table","movimientos_inventario","movimientos_inventario","004_movimientos_inventario_ventas.sql"
"table","movimientos_lotes","movimientos_lotes","128__lotes_series_fefo.sql"
"table","notificacion_tipo_roles","notificacion_tipo_roles","151__notificaciones_por_rol.sql"
"table","notificaciones","notificaciones","000__bootstrap_core_tables.sql"
"table","notificaciones","notificaciones","150__fix_notificaciones_table.sql"
"table","oc_aprobaciones","oc_aprobaciones","035_compras_completo.sql"
"table","orden_compra_detalles","orden_compra_detalles","000__bootstrap_core_tables.sql"
"table","ordenes_compra","ordenes_compra","000__bootstrap_core_tables.sql"
"table","outbox_events","outbox_events","000__bootstrap_core_tables.sql"
"table","pagos_empleados","pagos_empleados","000__bootstrap_core_tables.sql"
"table","pagos_facturas","pagos_facturas","000__bootstrap_core_tables.sql"
"table","pagos_lote","pagos_lote","037_add_idempotency_pago_lote.sql"
"table","paises","paises","000__bootstrap_core_tables.sql"
"table","pedido_aprobaciones","pedido_aprobaciones","010_aprobaciones_cxc.sql"
"table","pedido_backorders","pedido_backorders","012_parciales_backorder.sql"
"table","pedido_despachos","pedido_despachos","012_parciales_backorder.sql"
"table","pedido_gres","pedido_gres","014_pedido_gres.sql"
"table","pedidos_venta","pedidos_venta","001_crear_tablas_ventas.sql"
"table","pedidos_venta_detalle","pedidos_venta_detalle","001_crear_tablas_ventas.sql"
"table","periodos_contables","periodos_contables","000__bootstrap_core_tables.sql"
"table","permisos","permisos","000__bootstrap_core_tables.sql"
"table","pii_encryption_log","pii_encryption_log","131__pii_encryption_support.sql"
"table","plan_cuentas","plan_cuentas","000__bootstrap_core_tables.sql"
"table","planillas","planillas","000__bootstrap_core_tables.sql"
"table","plantillas_asientos","plantillas_asientos","047_create_plantillas_asientos_table.sql"
"table","plantillas_asientos_detalle","plantillas_asientos_detalle","047_create_plantillas_asientos_table.sql"
"table","plantillas_asientos_historial","plantillas_asientos_historial","047_create_plantillas_asientos_table.sql"
"table","plantillas_asientos_ventas","plantillas_asientos_ventas","086__flujo_ventas_completo.sql"
"table","plantillas_asientos_ventas","plantillas_asientos_ventas","086__flujo_ventas_documentos_completo.sql"
"table","pos_numeracion","pos_numeracion","111__pos_tx_outbox.sql"
"table","presupuestos","presupuestos","046_create_presupuestos_table.sql"
"table","producto_existencias","producto_existencias","016_p3_rma_multialmacen_dashboards.sql"
"table","producto_precios_sucursal","producto_precios_sucursal","109__productos_servicios_cajas.sql"
"table","producto_stock_sucursal","producto_stock_sucursal","109__productos_servicios_cajas.sql"
"table","productos","productos","000__bootstrap_core_tables.sql"
"table","proveedores","proveedores","000__bootstrap_core_tables.sql"
"table","public.cortes_caja","cortes_caja","158__cortes_caja.sql"
"table","public.gre_detalles","gre_detalles","155__add_gre_sire_detail_tables.sql"
"table","public.pedido_gres","pedido_gres","155__add_gre_sire_detail_tables.sql"
"table","public.sire_registros_detalle","sire_registros_detalle","155__add_gre_sire_detail_tables.sql"
"table","recepcion_items","recepcion_items","035_compras_completo.sql"
"table","recepciones","recepciones","035_compras_completo.sql"
"table","registro_consignaciones","registro_consignaciones","000__bootstrap_core_tables.sql"
"table","resumenes_diarios","resumenes_diarios","082__comunicacion_baja_resumen_diario.sql"
"table","retiros_caja","retiros_caja","119__cash_operations_complete.sql"
"table","rls_alert_config","rls_alert_config","034_configure_rls_alerts.sql"
"table","rls_alert_history","rls_alert_history","034_configure_rls_alerts.sql"
"table","rls_audit_log","rls_audit_log","033_audit_rls_violations.sql"
"table","rma_eventos","rma_eventos","016_p3_rma_multialmacen_dashboards.sql"
"table","rma_items","rma_items","016_p3_rma_multialmacen_dashboards.sql"
"table","rma_solicitudes","rma_solicitudes","016_p3_rma_multialmacen_dashboards.sql"
"table","rol_permisos","rol_permisos","000__bootstrap_core_tables.sql"
"table","roles","roles","000__bootstrap_core_tables.sql"
"table","saldos_iniciales_cuentas","saldos_iniciales_cuentas","000__bootstrap_core_tables.sql"
"table","secret_rotation_state","secret_rotation_state","130__secret_rotation_state.sql"
"table","sesiones_caja","sesiones_caja","109__productos_servicios_cajas.sql"
"table","sire_files","sire_files","000__bootstrap_core_tables.sql"
"table","solicitudes","solicitudes","000__bootstrap_core_tables.sql"
"table","stock_movimientos","stock_movimientos","000__bootstrap_core_tables.sql"
"table","sucursales","sucursales","109__productos_servicios_cajas.sql"
"table","system_alerts","system_alerts","130__secret_rotation_state.sql"
"table","tenants","tenants","000__bootstrap_core_tables.sql"
"table","user_roles","user_roles","000__bootstrap_core_tables.sql"
"table","users","users","000__bootstrap_core_tables.sql"
"table","usuario_configuracion","usuario_configuracion","000__bootstrap_core_tables.sql"
"table","usuarios_sistema","usuarios_sistema","000__bootstrap_core_tables.sql"
"table","usuarios_sistemas","usuarios_sistemas","000__bootstrap_core_tables.sql"
"table","vacantes","vacantes","000__bootstrap_core_tables.sql"
"table","validaciones_sunat","validaciones_sunat","000__bootstrap_core_tables.sql"
"table","venta_detalles","venta_detalles","000__bootstrap_core_tables.sql"
"table","ventas","ventas","000__bootstrap_core_tables.sql"
"table","ventas_pos","ventas_pos","000__bootstrap_core_tables.sql"
"table","ventas_pos_pagos","ventas_pos_pagos","169__pos_pagos_mixtos.sql"
"table","wizard_progress","wizard_progress","000__bootstrap_core_tables.sql"
"view","app.v_rate_limit_status","v_rate_limit_status","132__adaptive_rate_limiting.sql"
"view","public.vista_balance_comprobacion","vista_balance_comprobacion","117__rls_views.sql"
"view","public.vista_balance_comprobacion","vista_balance_comprobacion","161__e2e_rpc_tenant_context.sql"
"view","public.vista_kardex_valorizado","vista_kardex_valorizado","117__rls_views.sql"
"view","public.vista_kardex_valorizado","vista_kardex_valorizado","161__e2e_rpc_tenant_context.sql"
"view","public.vista_pos_productos","vista_pos_productos","134__fix_vista_pos_productos.sql"
"view","public.vista_registro_compras","vista_registro_compras","117__rls_views.sql"
"view","public.vista_registro_compras","vista_registro_compras","161__e2e_rpc_tenant_context.sql"
"view","public.vista_registro_compras","vista_registro_compras","162__fix_e2e_remaining.sql"
"view","public.vista_registro_compras","vista_registro_compras","163__fix_final_3_tests.sql"
"view","public.vw_cpe_documentos_auditoria","vw_cpe_documentos_auditoria","117__rls_views.sql"
"view","public.vw_cpe_documentos_auditoria","vw_cpe_documentos_auditoria","161__e2e_rpc_tenant_context.sql"
"view","public.vw_devoluciones_detalle","vw_devoluciones_detalle","117__rls_views.sql"
"view","public.vw_devoluciones_detalle","vw_devoluciones_detalle","161__e2e_rpc_tenant_context.sql"
"view","public.vw_devoluciones_detalle","vw_devoluciones_detalle","162__fix_e2e_remaining.sql"
"view","public.vw_inventario_kardex_resumen","vw_inventario_kardex_resumen","117__rls_views.sql"
"view","public.vw_inventario_kardex_resumen","vw_inventario_kardex_resumen","161__e2e_rpc_tenant_context.sql"
"view","public.vw_inventario_kardex_resumen","vw_inventario_kardex_resumen","162__fix_e2e_remaining.sql"
"view","public.vw_inventario_recepciones","vw_inventario_recepciones","117__rls_views.sql"
"view","public.vw_inventario_recepciones","vw_inventario_recepciones","161__e2e_rpc_tenant_context.sql"
"view","public.vw_inventario_recepciones","vw_inventario_recepciones","162__fix_e2e_remaining.sql"
"view","public.vw_inventario_recepciones_detalle","vw_inventario_recepciones_detalle","117__rls_views.sql"
"view","public.vw_inventario_recepciones_detalle","vw_inventario_recepciones_detalle","161__e2e_rpc_tenant_context.sql"
"view","public.vw_inventario_recepciones_detalle","vw_inventario_recepciones_detalle","162__fix_e2e_remaining.sql"
"view","public.vw_kardex_valorizado","vw_kardex_valorizado","117__rls_views.sql"
"view","public.vw_kardex_valorizado","vw_kardex_valorizado","161__e2e_rpc_tenant_context.sql"
"view","public.vw_kardex_valorizado","vw_kardex_valorizado","162__fix_e2e_remaining.sql"
"view","public.vw_ordenes_compra_abiertas","vw_ordenes_compra_abiertas","117__rls_views.sql"
"view","public.vw_ordenes_compra_abiertas","vw_ordenes_compra_abiertas","161__e2e_rpc_tenant_context.sql"
"view","public.vw_ordenes_compra_abiertas","vw_ordenes_compra_abiertas","162__fix_e2e_remaining.sql"
"view","public.vw_recepciones_detalle","vw_recepciones_detalle","117__rls_views.sql"
"view","public.vw_recepciones_detalle","vw_recepciones_detalle","161__e2e_rpc_tenant_context.sql"
"view","public.vw_recepciones_detalle","vw_recepciones_detalle","162__fix_e2e_remaining.sql"
"view","public.vw_ventas_pos_completas","vw_ventas_pos_completas","117__rls_views.sql"
"view","public.vw_ventas_pos_completas","vw_ventas_pos_completas","161__e2e_rpc_tenant_context.sql"
"view","v_indices_tenant_created_summary","v_indices_tenant_created_summary","064_add_missing_indices_tenant_created.sql"
"view","v_indices_tenant_finanzas","v_indices_tenant_finanzas","031_create_indices_finanzas.sql"
"view","v_kpis_sunat_multitenant","v_kpis_sunat_multitenant","016_p3_rma_multialmacen_dashboards.sql"
"view","v_lotes_proximos_vencer","v_lotes_proximos_vencer","128__lotes_series_fefo.sql"
"view","v_otif_multialmacen","v_otif_multialmacen","016_p3_rma_multialmacen_dashboards.sql"
"view","v_performance_indices_finanzas","v_performance_indices_finanzas","031_create_indices_finanzas.sql"
"view","v_rls_alerts_recent","v_rls_alerts_recent","034_configure_rls_alerts.sql"
"view","v_rls_alerts_summary","v_rls_alerts_summary","034_configure_rls_alerts.sql"
"view","v_rls_alerts_unacknowledged","v_rls_alerts_unacknowledged","034_configure_rls_alerts.sql"
"view","v_rls_policies_finanzas","v_rls_policies_finanzas","032_enable_rls_finanzas.sql"
"view","v_rls_status_empleado_relaciones","v_rls_status_empleado_relaciones","026_rls_empleado_relaciones.sql"
"view","v_rls_status_finanzas","v_rls_status_finanzas","032_enable_rls_finanzas.sql"
"view","v_rls_violations_by_table","v_rls_violations_by_table","033_audit_rls_violations.sql"
"view","v_rls_violations_by_user","v_rls_violations_by_user","033_audit_rls_violations.sql"
"view","v_rls_violations_hourly","v_rls_violations_hourly","033_audit_rls_violations.sql"
"view","v_rls_violations_recent","v_rls_violations_recent","033_audit_rls_violations.sql"
"view","v_secrets_rotation_status","v_secrets_rotation_status","130__secret_rotation_state.sql"
"view","v_tenant_id_status_finanzas","v_tenant_id_status_finanzas","030_add_tenant_id_finanzas.sql"
"view","vista_autorizaciones_caja","vista_autorizaciones_caja","122_autorizaciones_caja.sql"
"view","vista_pos_productos","vista_pos_productos","076__fix_pos_stock_y_detalle.sql"
"view","vista_pos_productos","vista_pos_productos","106__productos_stock_numeric_with_view_rebuild.sql"
"view","vista_pos_productos","vista_pos_productos","108__fix_vista_pos_productos_prices.sql"
"view","vista_pos_productos","vista_pos_productos","110__vista_pos_productos_multisucursal.sql"
"view","vw_cpe_documentos_auditoria","vw_cpe_documentos_auditoria","078__fix_cpe_documentos_integridad.sql"
"view","vw_demo_dashboard","vw_demo_dashboard","142__demo_tenant_support.sql"
"view","vw_devoluciones_detalle","vw_devoluciones_detalle","035_compras_completo.sql"
"view","vw_eventos_pos_sospechosos","vw_eventos_pos_sospechosos","127_eventos_pos_auditoria.sql"
"view","vw_inventario_kardex_resumen","vw_inventario_kardex_resumen","072__inventario_kardex_views.sql"
"view","vw_inventario_recepciones","vw_inventario_recepciones","072__inventario_kardex_views.sql"
"view","vw_kardex_valorizado","vw_kardex_valorizado","071__inventario_kardex_valorizado.sql"
"view","vw_ordenes_compra_abiertas","vw_ordenes_compra_abiertas","035_compras_completo.sql"
"view","vw_ranking_cajeros","vw_ranking_cajeros","126_turnos_analytics.sql"
"view","vw_recepciones_detalle","vw_recepciones_detalle","035_compras_completo.sql"
"view","vw_sesiones_activas","vw_sesiones_activas","126_turnos_analytics.sql"
"view","vw_sesiones_caja_resumen","vw_sesiones_caja_resumen","119__cash_operations_complete.sql"
"view","vw_turnos_metrics","vw_turnos_metrics","124_shift_analytics.sql"
"view","vw_turnos_metrics","vw_turnos_metrics","126_turnos_analytics.sql"
"view","vw_ventas_pos_completas","vw_ventas_pos_completas","076__fix_pos_stock_y_detalle.sql"
