"table","kind","column","file"
"pedidos_venta","insert","fecha_pedido","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","insert","moneda","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","insert","subtotal","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","insert","igv","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","insert","total","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","insert","estado","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","update","estado","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","filter","id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","filter","tenant_id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","update","estado","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","filter","id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta","filter","tenant_id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta_detalle","filter","id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta_detalle","filter","tenant_id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta_detalle","update","estado","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta_detalle","filter","id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"pedidos_venta_detalle","filter","tenant_id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","tenant_id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","cliente_id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","pedido_id","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","serie","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","numero","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","fecha_emision","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","fecha_vencimiento","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","moneda","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","monto_total","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","monto_pendiente","apps\erp-api\tests\integration\ventas-rls.test.ts"
"cuentas_por_cobrar","insert","estado","apps\erp-api\tests\integration\ventas-rls.test.ts"
"productos","insert","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"productos","insert","nombre","apps\erp-api\tests\integration\inventario-rls.test.ts"
"productos","insert","codigo","apps\erp-api\tests\integration\inventario-rls.test.ts"
"productos","insert","tipo","apps\erp-api\tests\integration\inventario-rls.test.ts"
"productos","insert","unidad_medida","apps\erp-api\tests\integration\inventario-rls.test.ts"
"productos","insert","precio_venta","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","filter","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","filter","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","filter","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","producto_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","tipo","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","cantidad","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","referencia_tipo","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","referencia_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","notas","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","update","stock_actual","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","producto_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","tipo","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","cantidad","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","referencia_tipo","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","referencia_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","notas","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","update","stock_reservado","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","filter","id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","filter","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","producto_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","tipo","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","cantidad","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","referencia_tipo","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","referencia_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","insert","notas","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","update","stock_actual","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","update","stock_reservado","apps\erp-api\tests\integration\inventario-rls.test.ts"
"movimientos_inventario","filter","id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"almacenes","filter","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"almacenes","insert","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"almacenes","insert","nombre","apps\erp-api\tests\integration\inventario-rls.test.ts"
"almacenes","insert","codigo","apps\erp-api\tests\integration\inventario-rls.test.ts"
"almacenes","insert","es_principal","apps\erp-api\tests\integration\inventario-rls.test.ts"
"almacenes","insert","activo","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","insert","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","insert","producto_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","insert","almacen_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","insert","stock_actual","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","insert","stock_reservado","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","insert","stock_danado","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","update","stock_actual","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","filter","id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","filter","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","update","stock_reservado","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","filter","id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","filter","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","update","stock_actual","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","update","stock_reservado","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","filter","id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"producto_existencias","filter","tenant_id","apps\erp-api\tests\integration\inventario-rls.test.ts"
"clientes","insert","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","tipo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","documento_tipo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","documento_numero","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","razon_social","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","activo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","tipo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","documento_tipo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","documento_numero","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","razon_social","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","activo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","tipo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","documento_tipo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","documento_numero","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","razon_social","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","insert","activo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
