"table","first_migration","refs_src","refs_test","modules_src","tier"
"candidatos","000__bootstrap_core_tables.sql","3","0","rrhh","P2"
"conceptos_planilla","000__bootstrap_core_tables.sql","3","0","rrhh","P2"
"configuracion_retenciones","000__bootstrap_core_tables.sql","3","0","otros","P2"
"cortes_caja","158__cortes_caja.sql","3","0","cajas","P2"
"demo_conversiones_pendientes","145__demo_conversiones_pendientes.sql","3","0","otros","P2"
"documento_detalles","000__bootstrap_core_tables.sql","3","0","otros,ventas","P2"
"event_processing_log","000__bootstrap_core_tables.sql","3","0","contabilidad","P2"
"gre","000__bootstrap_core_tables.sql","3","0","otros,shared","P2"
"rate_limit_baselines","132__adaptive_rate_limiting.sql","3","0","shared","P2"
"registro_consignaciones","000__bootstrap_core_tables.sql","3","0","shared","P2"
"sire_registros_detalle","155__add_gre_sire_detail_tables.sql","3","0","sire","P2"
"usuario_configuracion","000__bootstrap_core_tables.sql","3","0","otros","P2"
"auth_login_attempts","054_add_login_attempts.sql","2","0","auth","P2"
"departamentos","000__bootstrap_core_tables.sql","2","7","rrhh","P2"
"depreciaciones","000__bootstrap_core_tables.sql","2","0","contabilidad","P2"
"detalle_ventas_pos","000__bootstrap_core_tables.sql","2","1","pos","P2"
"documento_auditoria","000__bootstrap_core_tables.sql","2","0","otros","P2"
"empleado_beneficios","000__bootstrap_core_tables.sql","2","0","rrhh","P2"
"empleado_capacitaciones","000__bootstrap_core_tables.sql","2","0","rrhh","P2"
"empleado_horarios","000__bootstrap_core_tables.sql","2","0","rrhh","P2"
"empleado_planilla_conceptos","000__bootstrap_core_tables.sql","2","0","rrhh","P2"
"expediente_documentos","000__bootstrap_core_tables.sql","2","0","rrhh","P2"
"historial_pagos_planilla","000__bootstrap_core_tables.sql","2","0","rrhh","P2"
"liquidaciones","000__bootstrap_core_tables.sql","2","0","rrhh","P2"
"logistica_eventos","010_aprobaciones_cxc.sql","2","0","inventario","P2"
"metodos_pago","000__bootstrap_core_tables.sql","2","4","pos","P2"
"pedido_aprobaciones","010_aprobaciones_cxc.sql","2","0","ventas","P2"
"pedido_gres","014_pedido_gres.sql","2","0","gre,ventas","P2"
"producto_existencias","016_p3_rma_multialmacen_dashboards.sql","2","7","inventario","P2"
"rate_limit_blocks","132__adaptive_rate_limiting.sql","2","0","shared","P2"
"resumenes_diarios","082__comunicacion_baja_resumen_diario.sql","2","0","cpe","P2"
"rls_alert_history","034_configure_rls_alerts.sql","2","0","otros","P2"
"rma_items","016_p3_rma_multialmacen_dashboards.sql","2","0","ventas","P2"
"secret_rotation_state","130__secret_rotation_state.sql","2","0","shared","P2"
"trusted_ips","132__adaptive_rate_limiting.sql","2","0","shared","P2"
"users","000__bootstrap_core_tables.sql","2","0","cajas","P2"
"vacantes","000__bootstrap_core_tables.sql","2","0","rrhh","P2"
"venta_detalles","000__bootstrap_core_tables.sql","2","0","otros","P2"
"activos_fijos","000__bootstrap_core_tables.sql","1","0","shared","P2"
"beneficios","000__bootstrap_core_tables.sql","1","0","rrhh","P2"
"capacitaciones","000__bootstrap_core_tables.sql","1","0","rrhh","P2"
"detalle_comunicacion_baja","082__comunicacion_baja_resumen_diario.sql","1","0","cpe","P2"
"detalle_resumen_diario","082__comunicacion_baja_resumen_diario.sql","1","0","cpe","P2"
"devolucion_items","035_compras_completo.sql","1","0","compras","P2"
"gre_detalles","155__add_gre_sire_detail_tables.sql","1","0","gre","P2"
"horarios_trabajo","000__bootstrap_core_tables.sql","1","0","rrhh","P2"
"pagos_empleados","000__bootstrap_core_tables.sql","1","0","rrhh","P2"
"pedido_despachos","012_parciales_backorder.sql","1","0","inventario","P2"
"plantillas_asientos_ventas","086__flujo_ventas_completo.sql","1","0","contabilidad","P2"
"rate_limit_anomalies","132__adaptive_rate_limiting.sql","1","0","shared","P2"
"request_logs","132__adaptive_rate_limiting.sql","1","0","shared","P2"
"rma_eventos","016_p3_rma_multialmacen_dashboards.sql","1","0","ventas","P2"
"system_alerts","130__secret_rotation_state.sql","1","0","shared","P2"
"ventas_pos_pagos","169__pos_pagos_mixtos.sql","1","0","cajas","P2"
"asignacion_costos","000__bootstrap_core_tables.sql","0","0","","P3"
"audit_log_archive","063_audit_log_rotation.sql","0","0","","P3"
"auditoria","000__bootstrap_core_tables.sql","0","0","","P3"
"calendario_empresa","000__bootstrap_core_tables.sql","0","0","","P3"
"cobranzas","000__bootstrap_core_tables.sql","0","0","","P3"
"config_alertas_vencimiento","128__lotes_series_fefo.sql","0","0","","P3"
"detalle_retenciones_categoria","000__bootstrap_core_tables.sql","0","0","","P3"
"documento_archivos","000__bootstrap_core_tables.sql","0","0","","P3"
"egresos","000__bootstrap_core_tables.sql","0","0","","P3"
"eventos_pos","127_eventos_pos_auditoria.sql","0","0","","P3"
"gestiones_cobranza","000__bootstrap_core_tables.sql","0","0","","P3"
"inventarios_permanentes","000__bootstrap_core_tables.sql","0","0","","P3"
"knowledge_base","148__knowledge_base_help_system.sql","0","0","","P3"
"libros_electronicos_sunat","000__bootstrap_core_tables.sql","0","0","","P3"
"lotes_productos","128__lotes_series_fefo.sql","0","0","","P3"
"movimientos_consignacion","000__bootstrap_core_tables.sql","0","0","","P3"
"movimientos_lotes","128__lotes_series_fefo.sql","0","0","","P3"
"notificacion_tipo_roles","151__notificaciones_por_rol.sql","0","0","","P3"
"pagos_facturas","000__bootstrap_core_tables.sql","0","0","","P3"
"pagos_lote","037_add_idempotency_pago_lote.sql","0","0","","P3"
"pii_encryption_log","131__pii_encryption_support.sql","0","0","","P3"
"plantillas_asientos","047_create_plantillas_asientos_table.sql","0","0","","P3"
"plantillas_asientos_detalle","047_create_plantillas_asientos_table.sql","0","0","","P3"
"plantillas_asientos_historial","047_create_plantillas_asientos_table.sql","0","0","","P3"
"pos_numeracion","111__pos_tx_outbox.sql","0","0","","P3"
"rate_limit_configs","132__adaptive_rate_limiting.sql","0","0","","P3"
"rls_alert_config","034_configure_rls_alerts.sql","0","0","","P3"
"saldos_iniciales_cuentas","000__bootstrap_core_tables.sql","0","0","","P3"
"sucursales","109__productos_servicios_cajas.sql","0","0","","P3"
"usuarios_sistemas","000__bootstrap_core_tables.sql","0","0","","P3"
"validaciones_sunat","000__bootstrap_core_tables.sql","0","0","","P3"
