"table","cols","count"
"cpe","activo,cpe_id,created_at,direccion_receptor,documento_id,documento_receptor,error_message,estado,estado_integridad,estado_sunat,fecha_emision,fecha_envio,id,idempotency_key,items,moneda,next_retry_at,nombre,numero,numero_comprobante,pais,pdf_generado_en,razon_social_emisor,razon_social_receptor,retry_count,ruc,ruc_emisor,serie,status,tenant_id,tipo_documento,tipo_documento_receptor,total,total_gravadas,total_igv,total_venta,updated_at,xml_firmado","38"
"gre","created_at,estado,fecha_emision,id,numero,tenant_id","6"
"gre_guias","anio,base_imponible,cliente_nombre,cliente_ruc,correlativo,created_at,error_message,es_automatica,estado,fecha_emision,fecha_traslado,fecha_vencimiento,id,idempotency_key,igv,mes,moneda,motivo_creacion,movimiento_inventario_id,next_retry_at,numero,numero_sunat,peso_total,retry_count,serie,tenant_id,total,updated_at,venta_id","29"
"sire_files","completed_at,correlacion_id,correlacion_tipo,created_at,error_message,estado,fecha_cotizacion,file_path,file_size,filename,id,operacion,periodo,request_summary,response_summary,servicio,status,tenant_id,tipo,total_registros,updated_at","21"
"sesiones_caja","activo,ADMINISTRATIVO,caja_id,cajero_id,cerrado_por,cierre_administrativo,codigo,congelada,created_at,diferencia,dispositivo,estado,fecha_apertura,fecha_cierre,hash_integridad,hora_apertura,hora_cierre,id,monto_contado,monto_esperado,monto_inicial,monto_inicio,nombre,notas,notas_cierre,pais,razon_cierre_administrativo,ruc,sesion_caja_id,tenant_id,total_efectivo,total_tarjeta,usuario_cierre,usuario_id","34"
"ventas_pos","activo,cliente_documento,cliente_nombre,cpe_data,cpe_id,cpe_pendiente,created_at,error_facturacion,estado,fecha,fecha_orden,id,impuestos,intentos_facturacion,metodo_pago,nombre,numero_ticket,numero_venta,pais,ruc,sesion_caja_id,stock,subtotal,tenant_id,total,ultimo_intento_facturacion","26"
"detalle_ventas_pos","id,producto_id,tenant_id,venta_id","4"
"ventas_pos_pagos","metodo_pago_codigo,metodo_pago_tipo,monto,tenant_id","4"
"movimientos_caja","id,monto,referencia_documento,referencia_tipo,secuencia,sesion_caja_id,tenant_id,tipo_movimiento","8"
"retiros_caja","banco_destino,created_at,estado_conciliacion,fecha_conciliacion,foto_comprobante,id,monto,motivo,motivo_detalle,nRECHAZADO,numero_operacion,sesion_caja_id,tenant_id,updated_at","14"
"cambios_turno","congelada,diferencia,estado,estado_conciliacion,firma_digital_entrante,firma_digital_saliente,foto_arqueo,id,saldo_contado,sesion_caja_id,tenant_id,timestamp_fin,timestamp_inicio","13"
"autorizaciones_caja","created_at,estado,supervisor_id,tenant_id,tipo_autorizacion","5"
"empleados","activo,apellidos,created_at,email,empleado_id,estado,fecha,fecha_ingreso,fecha_nacimiento,id,id_departamento,id_empleado,nombre,nombres,numero_documento,pais,puesto,ruc,telefono,tenant_id,tipo_documento","21"
"planillas","asientos_generados,estado,estado_pago,fecha_asientos,fecha_pago,id,metodo_pago,periodo,tenant_id,total_aportes,total_descuentos,total_ingresos,total_neto,total_pagado","14"
"empleado_planilla","dias_trabajados,estado_pago,fecha_pago,id,id_empleado,id_planilla,metodo_pago,neto_pagar,numero_operacion,observaciones_pago,total_aportes,total_descuentos,total_ingresos","13"
"empleado_planilla_conceptos","id_concepto,id_empleado_planilla,monto,observaciones","4"
"conceptos_planilla","activo,codigo,tenant_id","3"
"pagos_empleados","descuentos,empleado_id,estado,fecha_pago,metodo_pago,monto_neto,periodo,planilla_id,sueldo_bruto,usuario_id","10"
