"table_name","first_migration","appearances"
"plantillas_asientos","047_create_plantillas_asientos_table.sql","1"
"plantillas_asientos_detalle","047_create_plantillas_asientos_table.sql","1"
"plantillas_asientos_historial","047_create_plantillas_asientos_table.sql","1"
"plantillas_asientos_ventas","086__flujo_ventas_completo.sql","2"
"pos_numeracion","111__pos_tx_outbox.sql","1"
"presupuestos","046_create_presupuestos_table.sql","1"
"producto_existencias","016_p3_rma_multialmacen_dashboards.sql","1"
"producto_precios_sucursal","109__productos_servicios_cajas.sql","1"
"producto_stock_sucursal","109__productos_servicios_cajas.sql","1"
"productos","000__bootstrap_core_tables.sql","1"
"proveedores","000__bootstrap_core_tables.sql","1"
"public.cortes_caja","158__cortes_caja.sql","1"
"public.gre_detalles","155__add_gre_sire_detail_tables.sql","1"
"public.pedido_gres","155__add_gre_sire_detail_tables.sql","1"
"public.sire_registros_detalle","155__add_gre_sire_detail_tables.sql","1"
"recepcion_items","035_compras_completo.sql","1"
"recepciones","035_compras_completo.sql","1"
"registro_consignaciones","000__bootstrap_core_tables.sql","1"
"resumenes_diarios","082__comunicacion_baja_resumen_diario.sql","1"
"retiros_caja","119__cash_operations_complete.sql","1"
"rls_alert_config","034_configure_rls_alerts.sql","1"
"rls_alert_history","034_configure_rls_alerts.sql","1"
"rls_audit_log","033_audit_rls_violations.sql","1"
"rma_eventos","016_p3_rma_multialmacen_dashboards.sql","1"
"rma_items","016_p3_rma_multialmacen_dashboards.sql","1"
"rma_solicitudes","016_p3_rma_multialmacen_dashboards.sql","1"
"rol_permisos","000__bootstrap_core_tables.sql","1"
"roles","000__bootstrap_core_tables.sql","1"
"saldos_iniciales_cuentas","000__bootstrap_core_tables.sql","1"
"secret_rotation_state","130__secret_rotation_state.sql","1"
"sesiones_caja","109__productos_servicios_cajas.sql","1"
"sire_files","000__bootstrap_core_tables.sql","1"
"solicitudes","000__bootstrap_core_tables.sql","1"
"stock_movimientos","000__bootstrap_core_tables.sql","1"
"sucursales","109__productos_servicios_cajas.sql","1"
"system_alerts","130__secret_rotation_state.sql","1"
"tenants","000__bootstrap_core_tables.sql","1"
"to","037_add_idempotency_pago_lote.sql","1"
"user_roles","000__bootstrap_core_tables.sql","1"
"users","000__bootstrap_core_tables.sql","1"
"usuario_configuracion","000__bootstrap_core_tables.sql","1"
"usuarios_sistema","000__bootstrap_core_tables.sql","1"
"usuarios_sistemas","000__bootstrap_core_tables.sql","1"
"vacantes","000__bootstrap_core_tables.sql","1"
"validaciones_sunat","000__bootstrap_core_tables.sql","1"
"venta_detalles","000__bootstrap_core_tables.sql","1"
"ventas","000__bootstrap_core_tables.sql","1"
"ventas_pos","000__bootstrap_core_tables.sql","1"
"ventas_pos_pagos","169__pos_pagos_mixtos.sql","1"
"wizard_progress","000__bootstrap_core_tables.sql","1"
